index,sequence.start,batch,Desorb.Start.Time,CreationTime,eithertime,status,Tube,markes_n,GC_n,either_n,markes_GC,create_desorb,desorb.Start.diff,Mixup,nameBlank,kBlank,Cluster,n_peaks,verdict,FileName,sample,user,FullName,id
1,2018-07-16T15:33:13Z,heather_maxfield190806.txt,2018-07-16T22:38:07Z,2018-07-16T22:38:13Z,2018-07-16T22:38:07Z,Desorbed NA,1,1,NA,1,NA,6,87503,FALSE,TRUE,TRUE,6,307,,Blank_07162018.qgd,,Blank,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Maxfield meadow 2018/Blank_07162018.qgd,fcc1360c-8897-477a-9554-6608a5eb9c84
2,2018-07-16T15:33:13Z,heather_maxfield190806.txt,2018-07-16T23:08:36Z,2018-07-16T23:14:49Z,2018-07-16T23:08:36Z,Desorbed NA,3,2,NA,2,NA,373,1829,FALSE,FALSE,FALSE,31,313,,3C94July16_07162018.qgd,,D Campbell : Maxfield,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Maxfield meadow 2018/3C94July16_07162018.qgd,fcc1360c-8897-477a-9554-6608a5eb9c84
3,2018-07-18T14:52:33Z,heather_maxfield190806.txt,2018-07-18T21:57:26Z,2018-07-18T21:57:10Z,2018-07-18T21:57:10Z,Desorbed NA,1,1,NA,1,NA,16,168530,FALSE,TRUE,TRUE,6,329,,Blank_07182018.qgd,,Blank,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Maxfield meadow 2018/Blank_07182018.qgd,de5aea7b-f702-4f4f-af4c-df0dee407b1c
4,2018-07-18T14:52:33Z,heather_maxfield190806.txt,2018-07-18T22:27:56Z,2018-07-18T22:34:06Z,2018-07-18T22:27:56Z,Desorbed NA,2,2,NA,2,NA,370,1830,FALSE,FALSE,FALSE,7,308,,AirJuly11_07182018.qgd,,D Campbell : Maxfield,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Maxfield meadow 2018/AirJuly11_07182018.qgd,de5aea7b-f702-4f4f-af4c-df0dee407b1c
5,2018-07-18T14:52:33Z,heather_maxfield190806.txt,2018-07-18T23:00:57Z,2018-07-18T23:07:12Z,2018-07-18T23:00:57Z,Desorbed NA,3,3,NA,3,NA,375,1981,FALSE,FALSE,FALSE,7,327,,4a90July11_07182018.qgd,,D Campbell : Maxfield,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Maxfield meadow 2018/4a90July11_07182018.qgd,de5aea7b-f702-4f4f-af4c-df0dee407b1c
6,2018-07-18T14:52:33Z,heather_maxfield190806.txt,2018-07-18T23:34:44Z,2018-07-18T23:40:53Z,2018-07-18T23:34:44Z,Desorbed NA,4,4,NA,4,NA,369,2027,FALSE,FALSE,FALSE,7,318,,1B655July11_07182018.qgd,,D Campbell : Maxfield,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Maxfield meadow 2018/1B655July11_07182018.qgd,de5aea7b-f702-4f4f-af4c-df0dee407b1c
7,2018-07-18T14:52:33Z,heather_maxfield190806.txt,2018-07-19T00:08:43Z,2018-07-19T00:14:55Z,2018-07-19T00:08:43Z,Desorbed NA,5,5,NA,5,NA,372,2039,FALSE,FALSE,FALSE,28,329,,2D212July09_07182018.qgd,,D Campbell : Maxfield,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Maxfield meadow 2018/2D212July09_07182018.qgd,de5aea7b-f702-4f4f-af4c-df0dee407b1c
8,2018-07-18T14:52:33Z,heather_maxfield190806.txt,2018-07-19T00:43:09Z,2018-07-19T00:49:09Z,2018-07-19T00:43:09Z,Desorbed NA,6,6,NA,6,NA,360,2066,FALSE,FALSE,FALSE,28,319,,3B601July09_07182018.qgd,,D Campbell : Maxfield,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Maxfield meadow 2018/3B601July09_07182018.qgd,de5aea7b-f702-4f4f-af4c-df0dee407b1c
9,2018-07-18T14:52:33Z,heather_maxfield190806.txt,2018-07-19T01:17:20Z,2018-07-19T01:23:33Z,2018-07-19T01:17:20Z,Desorbed NA,7,7,NA,7,NA,373,2051,FALSE,FALSE,FALSE,28,329,,3A127July09_07182018.qgd,,D Campbell : Maxfield,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Maxfield meadow 2018/3A127July09_07182018.qgd,de5aea7b-f702-4f4f-af4c-df0dee407b1c
10,2018-07-18T14:52:33Z,heather_maxfield190806.txt,2018-07-19T01:51:35Z,2018-07-19T01:57:51Z,2018-07-19T01:51:35Z,Desorbed NA,8,8,NA,8,NA,376,2055,FALSE,FALSE,FALSE,28,325,,5A180July09_07182018.qgd,,D Campbell : Maxfield,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Maxfield meadow 2018/5A180July09_07182018.qgd,de5aea7b-f702-4f4f-af4c-df0dee407b1c
11,2018-07-18T14:52:33Z,heather_maxfield190806.txt,2018-07-19T02:25:22Z,2018-07-19T02:31:31Z,2018-07-19T02:25:22Z,Desorbed NA,9,9,NA,9,NA,369,2027,FALSE,FALSE,FALSE,7,318,,2D218July11_07182018.qgd,,D Campbell : Maxfield,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Maxfield meadow 2018/2D218July11_07182018.qgd,de5aea7b-f702-4f4f-af4c-df0dee407b1c
12,2018-07-18T14:52:33Z,heather_maxfield190806.txt,2018-07-19T02:58:47Z,2018-07-19T03:05:02Z,2018-07-19T02:58:47Z,Desorbed NA,10,10,NA,10,NA,375,2005,FALSE,FALSE,FALSE,7,325,,5D228July06_07182018.qgd,,D Campbell : Maxfield,C:/GCMSsolution/Data/Project1/Campbell RMBL Data/Maxfield meadow 2018/5D228July06_07182018.qgd,de5aea7b-f702-4f4f-af4c-df0dee407b1c
